INLINE PersonalSkillTable,Skill
0x6C Lyon (Ch Final),0x0
0x6D Orson (Ch 16),0x0
0x6E -,0x0
0x6F -,0x0
0x70 -,0x0
0x71 -,0x0
0x72 -,0x0
0x73 -,0x0
0x74 -,0x0
0x75 -,0x0
0x76 -,0x0
0x77 -,0x0
0x78 -,0x0
0x79 -,0x0
0x7A -,0x0
0x7B -,0x0
0x7C -,0x0
0x7D -,0x0
0x7E -,0x0
0x7F Deserter,0x0
0x80 Grado Soldier (Main),0x0
0x81 Grado Soldier,0x0
0x82 Grado Soldier,0x0
0x83 Jerry,0x0
0x84 Grado Soldier,0x0
0x85 Combatant,0x0
0x86 -,0x0
0x87 -,0x0
0x88 -,0x0
0x89 Grado (Duessel's),0x0
0x8A Grado (Duessel's),0x0
0x8B Grado (Duessel's),0x0
0x8C Grado,0x0
0x8D Grado Remnant (Main),0x0
0x8E Cutthroat,0x0
0x8F Grado Remnant (Cutscene/C16),0x0
0x90 Grado Remnant (C16),0x0
0x91 Grado Remnant (C16),0x0
0x92 Wraith (Sage),0x0
0x93 Wraith (Swords),0x0
0x94 Wraith (Axes),0x0
0x95 -,0x0
0x96 -,0x0
0x97 -,0x0
0x98 -,0x0
0x99 -,0x0
0x9A -,0x0
0x9B -,0x0
0x9C -,0x0
0x9D -,0x0
0x9E -,0x0
0x9F -,0x0
0xA0 -,0x0
0xA1 -,0x0
0xA2 -,0x0
0xA3 -,0x0
0xA4 -,0x0
0xA5 -,0x0
0xA6 -,0x0
0xA7 Mercenary (Ch 9A),0x0
0xA8 Mercenary (Ch 10A),0x0
0xA9 Remnant/Merc (Ch 13A),0x0
0xAA Beast,0x0
0xAB Beast (Ch 2),0x0
0xAC Lowlander,0x0
0xAD JabberwockBoss,WatchfulID
0xAE Beast,0x0
0xAF Lowlander (Ch 4),0x0
0xB0 JabberwockBlocker,VoidCurseID
0xB1 JabberwockSiege,VoidCurseID
0xB2 JabberwockAttacker,VoidCurseID
Monster,0x0
Monster,0x0
Monster,0x0
Monster,0x0
Monster,0x0
Monster,0x0
Monster,0x0
Monster,0x0
Monster,0x0
Monster,0x0
Monster,0x0
Monster,0x0
Demon King,0x0
0,0x0
Frelian,0x0
Frelian,0x0
0,0x0
0,0x0
0,0x0
Fado (Renais),0x0
0,0x0
Hayden (Frelia),0x0
Mansel (Rausten),0x0
Klimt (Carcino),0x0
Dara (Caer Pelyn),0x0
Ismaire (Jehanna),0x0
Pegasus Messenger,0x0
Rausten Knight,0x0
Rausten Knight,0x0
(Untested Beyond this point),0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
